198901,86,40
198902,84,29
198903,100,32
198904,95,50
198905,94,65
198906,102,63
198907,98,68
198908,97,71
198909,98,58
198910,94,40
198911,95,46
198912,79,16
199001,85,38
199002,92,43
199003,87,46
199004,93,56
199005,95,57
199006,98,72
199007,97,72
199008,100,73
199009,97,65
199010,95,49
199011,87,43
199012,84,29
199101,85,39
199102,85,44
199103,96,47
199104,99,54
199105,93,66
199106,97,73
199107,101,72
199108,99,73
199109,96,58
199110,91,54
199111,86,40
199112,86,41
199201,78,39
199202,86,40
199203,93,46
199204,88,50
199205,89,55
199206,96,72
199207,96,72
199208,99,70
199209,96,62
199210,93,57
199211,92,34
199212,85,43
199301,83,37
199302,88,43
199303,89,39
199304,91,52
199305,93,58
199306,92,69
199307,97,73
199308,97,73
199309,98,61
199310,95,35
199311,86,31
199312,85,37
199401,82,39
199402,83,38
199403,85,41
199404,89,46
199405,96,59
199406,96,71
199407,97,73
199408,95,69
199409,94,62
199410,92,51
199411,87,51
199412,86,41
199501,83,40
199502,93,42
199503,90,42
199504,94,52
199505,96,62
199506,97,66
199507,98,72
199508,96,74
199509,96,55
199510,94,53
199511,88,46
199512,85,41
199601,83,32
199602,93,32
199603,90,37
199604,94,45
199605,94,62
199606,96,67
199607,97,73
199608,98,73
199609,93,61
199610,89,52
199611,88,37
199612,91,29
199701,82,30
199702,85,42
199703,92,48
199704,96,46
199705,92,56
199706,95,63
199707,98,73
199708,98,72
199709,96,65
199710,90,52
199711,92,42
199712,79,32
199801,80,39
199802,88,40
199803,89,44
199804,93,49
199805,97,62
199806,101,74
199807,99,75
199808,100,74
199809,98,73
199810,92,60
199811,86,53
199812,85,34
199901,86,36
199902,84,41
199903,91,44
199904,94,48
199905,102,64
199906,93,73
199907,96,71
199908,100,72
199909,96,58
199910,92,48
199911,90,41
199912,85,38
200001,85,40
200002,89,44
200003,96,52
200004,93,50
200005,95,65
200006,96,71
200007,100,72
200008,98,71
200009,105,58
200010,95,44
200011,88,44
200012,83,35
200101,79,32
200102,87,45
200103,92,44
200104,93,56
200105,95,65
200106,102,72
200107,98,71
200108,99,72
200109,96,62
200110,93,55
200111,87,37
200112,84,35
200201,86,30
200202,84,41
200203,93,38
200204,96,57
200205,96,63
200206,97,70
200207,97,73
200208,99,74
200209,101,66
200210,92,55
200211,86,43
200212,82,39
200301,79,37
200302,83,35
200303,88,43
200304,98,47
200305,95,69
200306,94,69
200307,104,72
200308,99,72
200309,95,67
200310,90,49
200311,86,41
200312,85,35
200401,82,38
200402,84,39
200403,86,49
200404,89,49
200405,98,52
200406,95,70
200407,99,73
200408,99,69
200409,93,69
200410,93,54
200411,90,45
200412,85,28
200501,84,44
200502,89,46
200503,92,45
200504,95,47
200505,100,59
200506,96,72
200507,100,74
200508,104,74
200509,104,72
200510,94,52
200511,90,45
200512,84,35
200601,89,38
200602,93,35
200603,97,43
200604,94,57
200605,99,61
200606,96,68
200607,98,73
200608,98,73
200609,97,63
200610,93,49
200611,90,43
200612,84,36
200701,80,35
200702,84,40
200703,85,36
200704,92,39
200705,91,63
200706,94,70
200707,95,72
200708,99,74
200709,93,69
200710,94,49
200711,88,46
200712,86,40
200801,88,37
200802,88,42
200803,98,40
200804,95,51
200805,93,65
200806,97,73
200807,95,72
200808,96,72
200809,98,63
200810,93,50
200811,86,42
200812,84,36
200901,84,38
200902,86,41
200903,101,38
200904,94,46
200905,94,59
200906,95,70
200907,100,75
200908,99,72
200909,97,63
200910,93,51
200911,85,47
200912,82,31
201001,86,29
201002,79,37
201003,89,37
201004,94,55
201005,96,58
201006,97,70
201007,95,74
201008,98,74
201009,96,63
201010,92,53
201011,90,44
201012,89,36
201101,84,39
201102,90,28
201103,87,47
201104,101,60
201105,100,60
201106,98,71
201107,96,74
201108,101,74
201109,103,63
201110,92,52
201111,91,34
201112,84,35
201201,86,37
201202,87,45
201203,88,46
201204,96,54
201205,97,67
201206,103,72
201207,97,73
201208,105,73
201209,99,65
201210,97,55
201211,90,54
201212,88,39
201301,85,36
201302,87,41
201303,99,42
201304,99,48
201305,94,51
201306,102,72
201307,98,71
201308,100,73
201309,97,68
201310,93,57
201311,88,36
201312,85,37
198901,77,18
198902,77,8
198903,90,16
198904,95,28
198905,101,52
198906,101,54
198907,109,61
198908,103,58
198909,104,37
198910,100,27
198911,89,24
198912,81,-6
199001,78,20
199002,83,23
199003,85,28
199004,96,33
199005,99,44
199006,103,64
199007,102,53
199008,105,59
199009,101,50
199010,92,33
199011,83,25
199012,81,7
199101,73,17
199102,83,21
199103,94,31
199104,93,33
199105,98,41
199106,97,58
199107,102,58
199108,102,61
199109,92,47
199110,95,33
199111,81,17
199112,75,24
199201,71,15
199202,79,25
199203,83,30
199204,88,38
199205,97,42
199206,96,55
199207,96,66
199208,97,51
199209,95,46
199210,93,40
199211,88,21
199212,75,26
199301,78,22
199302,75,22
199303,87,24
199304,90,35
199305,93,43
199306,103,59
199307,103,68
199308,101,66
199309,94,47
199310,93,21
199311,81,16
199312,75,21
199401,73,16
199402,81,13
199403,93,23
199404,93,31
199405,94,49
199407,104,62
199408,102,64
199409,97,40
199410,96,36
199411,84,25
199412,77,24
199501,78,23
199502,80,22
199503,91,23
199504,95,34
199505,96,46
199506,95,53
199507,105,63
199508,98,64
199509,100,44
199510,89,34
199511,85,26
199512,85,16
199601,78,12
199602,95,6
199603,87,18
199604,95,30
199605,98,55
199606,103,55
199607,103,67
199608,103,63
199609,90,41
199610,88,32
199611,89,24
199612,79,14
199701,83,14
199702,80,25
199703,89,28
199704,92,30
199705,94,44
199706,98,58
199707,102,65
199708,103,61
199709,100,50
199710,94,30
199711,79,22
199712,76,19
199801,79,24
199802,81,27
199803,84,23
199804,93,39
199811,82,38
199812,80,18
199901,86,21
199902,86,25
199903,84,29
199904,95,34
199905,92,46
199906,97,63
199907,104,66
199908,105,67
199909,100,44
199910,92,36
199911,84,30
199912,82,22
200001,89,20
200002,87,25
200003,91,33
200004,97,32
200005,103,53
200006,96,58
200007,105,71
200008,103,67
200009,109,40
200010,98,41
200011,79,26
200012,76,21
200101,75,22
200102,76,24
200103,83,30
200104,86,43
200105,98,46
200106,101,64
200107,104,67
200108,101,67
200109,96,49
200110,91,38
200111,85,25
200112,76,25
200201,80,19
200202,80,17
200203,89,18
200204,98,46
200205,101,46
200206,98,61
200207,97,68
200208,103,67
200209,96,54
200210,94,41
200211,86,26
200212,82,23
200301,82,18
200302,78,17
200303,87,28
200304,94,31
200305,100,56
200306,101,57
200307,102,69
200308,110,64
200309,94,58
200310,92,39
200311,86,25
200312,79,22
200401,83,20
200402,76,22
200403,89,38
200404,88,35
200405,97,42
200406,102,62
200407,100,66
200408,100,61
200411,83,32
200412,75,16
200501,79,19
200502,85,28
200503,84,27
200504,93,29
200505,99,40
200506,98,60
200507,104,65
200508,99,62
200509,106,58
200510,95,30
200511,90,24
200512,89,11
200601,90,22
200602,88,17
200603,95,27
200604,102,41
200605,99,46
200606,104,57
200607,107,63
200608,107,63
200609,98,48
200610,95,35
200611,90,27
200612,81,18
200701,74,21
200702,89,14
200703,85,23
200704,89,30
200705,88,56
200706,96,60
200707,94,65
200708,100,67
200709,94,56
200710,95,34
200711,91,28
200712,82,16
200801,81,16
200802,93,18
200803,90,23
200804,92,33
200805,100,46
200806,103,65
200807,108,64
200808,106,66
200809,98,48
200810,94,31
200811,84,25
200812,80,19
200901,86,16
200902,98,20
200903,94,26
200904,97,27
200905,98,48
200906,104,58
200907,103,67
200908,105,60
200909,98,50
200910,93,33
200911,80,27
200912,76,17
201001,82,7
201002,72,21
201003,86,26
201004,92,35
201005,100,41
201006,103,62
201007,100,70
201008,110,60
201009,102,48
201010,95,32
201011,94,20
201012,88,20
201101,83,16
201102,90,10
201103,93,24
201104,103,36
201105,107,38
201106,111,64
201107,107,72
201108,110,71
201109,106,51
201110,94,31
201111,88,24
201112,72,19
201201,83,25
201202,83,25
201203,89,27
201204,104,43
201205,103,55
201206,104,63
201207,107,69
201208,110,66
201209,107,54
201210,92,32
201211,89,27
201212,85,17
201301,86,20
201302,80,25
201303,92,24
201304,94,34
201305,99,36
201306,109,59
201307,106,59
201308,108,66
201309,104,51
201310,93,39
201311,86,25
201312,86,18
198901,78,16
198902,79,15
198903,87,19
198904,92,32
198905,92,54
198906,94,57
198907,98,60
198908,97,60
198909,99,39
198910,97,29
198912,78,-6
199001,77,22
199002,81,30
199003,84,32
199004,92,34
199005,94,47
199006,98,66
199007,100,58
199008,104,62
199009,103,51
199010,94,34
199011,80,31
199012,78,9
199101,74,21
199102,79,21
199103,95,33
199104,89,41
199105,91,43
199106,93,64
199107,97,66
199108,98,64
199109,92,47
199110,97,38
199111,81,21
199112,76,29
199201,73,16
199202,79,28
199203,82,30
199204,87,34
199205,93,44
199206,94,58
199207,97,60
199208,97,53
199209,96,49
199210,91,44
199211,79,23
199212,78,29
199301,74,25
199302,75,24
199303,85,27
199304,83,36
199305,89,48
199306,93,61
199307,101,70
199308,101,72
199309,97,49
199310,90,21
199311,83,21
199312,73,24
199401,73,20
199402,82,19
199403,83,26
199404,86,33
199405,90,44
199406,98,66
199407,101,58
199408,101,67
199409,96,44
199410,94,39
199411,83,30
199412,74,27
199501,79,24
199502,81,23
199503,89,23
199504,84,38
199505,91,48
199506,93,54
199507,103,65
199508,100,71
199509,99,43
199510,90,39
199511,84,24
199512,82,15
199601,78,14
199602,97,9
199603,93,21
199604,94,35
199605,96,54
199606,100,55
199607,103,73
199608,101,66
199609,93,42
199610,87,38
199611,80,30
199612,82,17
199701,81,16
199702,85,30
199703,85,31
199704,88,31
199705,89,44
199706,92,55
199707,101,67
199708,100,63
199709,99,52
199710,95,33
199711,78,24
199712,74,19
199801,74,28
199802,75,27
199803,84,24
199804,85,40
199805,99,53
199806,102,57
199807,107,70
199808,107,69
199809,107,68
199811,77,36
199812,78,23
199901,79,16
199902,81,27
199903,79,27
199904,88,33
199905,90,47
199906,94,66
199907,100,69
199908,104,71
199909,99,45
